"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Nov 06 10:31:39 EET 2023","Mon Nov 06 10:31:41 EET 2023","1758","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","TestAdminLogin","TestAdminLogin","Check that Admin can login with Valid credentials"
"passed","Mon Nov 06 10:31:58 EET 2023","Mon Nov 06 10:32:00 EET 2023","1976","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","InvalidAdminCannotLogin","InvalidAdminCannotLogin","Check that Admin cannot login with invalid credentials"
"passed","Mon Nov 06 10:31:49 EET 2023","Mon Nov 06 10:31:50 EET 2023","1773","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","TestAdminLogin","TestAdminLogin","Check that Admin can login with Valid credentials"
"passed","Mon Nov 06 10:31:45 EET 2023","Mon Nov 06 10:31:46 EET 2023","1706","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","TestAdminLogin","TestAdminLogin","Check that Admin can login with Valid credentials"
"passed","Mon Nov 06 10:32:06 EET 2023","Mon Nov 06 10:32:08 EET 2023","1899","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","InvalidAdminCannotLogin","InvalidAdminCannotLogin","Check that Admin cannot login with invalid credentials"
"passed","Mon Nov 06 10:32:04 EET 2023","Mon Nov 06 10:32:06 EET 2023","1999","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","InvalidAdminCannotLogin","InvalidAdminCannotLogin","Check that Admin cannot login with invalid credentials"
"passed","Mon Nov 06 10:31:46 EET 2023","Mon Nov 06 10:31:49 EET 2023","2198","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","TestAdminLogin","TestAdminLogin","Check that Admin can login with Valid credentials"
"passed","Mon Nov 06 10:32:08 EET 2023","Mon Nov 06 10:32:10 EET 2023","1907","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","InvalidAdminCannotLogin","InvalidAdminCannotLogin","Check that Admin cannot login with invalid credentials"
"passed","Mon Nov 06 10:31:54 EET 2023","Mon Nov 06 10:31:56 EET 2023","1985","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","InvalidAdminCannotLogin","InvalidAdminCannotLogin","Check that Admin cannot login with invalid credentials"
"passed","Mon Nov 06 10:31:50 EET 2023","Mon Nov 06 10:31:52 EET 2023","1828","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","TestAdminLogin","TestAdminLogin","Check that Admin can login with Valid credentials"
"passed","Mon Nov 06 10:31:52 EET 2023","Mon Nov 06 10:31:54 EET 2023","1934","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","InvalidAdminCannotLogin","InvalidAdminCannotLogin","Check that Admin cannot login with invalid credentials"
"passed","Mon Nov 06 10:31:43 EET 2023","Mon Nov 06 10:31:45 EET 2023","1865","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","TestAdminLogin","TestAdminLogin","Check that Admin can login with Valid credentials"
"passed","Mon Nov 06 10:31:34 EET 2023","Mon Nov 06 10:31:37 EET 2023","3382","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","TestAdminLogin","TestAdminLogin","Check that Admin can login with Valid credentials"
"passed","Mon Nov 06 10:32:02 EET 2023","Mon Nov 06 10:32:04 EET 2023","1917","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","InvalidAdminCannotLogin","InvalidAdminCannotLogin","Check that Admin cannot login with invalid credentials"
"passed","Mon Nov 06 10:31:41 EET 2023","Mon Nov 06 10:31:43 EET 2023","1671","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","TestAdminLogin","TestAdminLogin","Check that Admin can login with Valid credentials"
"passed","Mon Nov 06 10:32:00 EET 2023","Mon Nov 06 10:32:02 EET 2023","2239","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","InvalidAdminCannotLogin","InvalidAdminCannotLogin","Check that Admin cannot login with invalid credentials"
"passed","Mon Nov 06 10:31:56 EET 2023","Mon Nov 06 10:31:58 EET 2023","2035","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","InvalidAdminCannotLogin","InvalidAdminCannotLogin","Check that Admin cannot login with invalid credentials"
"passed","Mon Nov 06 10:31:37 EET 2023","Mon Nov 06 10:31:39 EET 2023","1899","Default Suite","Autofox","testClasses.gui.AdminLogin","testClasses.gui.AdminLogin","TestAdminLogin","TestAdminLogin","Check that Admin can login with Valid credentials"
